text,index
"['kelli', 'number', 'peopl', 'die', 'vaccin']",112
"['excus', 'see', 'friend', 'flex', 'langkawi', 'social', 'medium', 'langkawi']",113
"['death', 'around', 'world', 'report', 'today']",114
"['toomey', 'vote', 'bar', 'fund', 'vaccin', 'requir', 'privat', 'employ', 'extend', 'governm']",115
"['new', 'zealand', 'abandon', 'goal', 'elimin']",116
"['teacher', 'bua', 'go', 'way', 'ensur', 'student', 'left', 'behind']",117
[],118
"['day', 'u', 'death', 'counti', 'va', 'visual', 'give', 'insight', 'thank', 'ou']",119
"['vaccinemand', 'get', 'vaccin', 'mean', 'contract', 'get', 'infect', 'u']",120
"['case', 'continu', 'decreas', 'polk', 'counti', 'vaccin', 'rate', 'lowest']",121
"['variant', 'substanti', 'danger', 'nativ', 'strain', 'canadian', 'studi', 'find']",122
"['nstnation', 'three', 'public', 'vaccin', 'centr', 'ppv', 'kelantan', 'offici', 'close', 'friday']",123
"['fact', 'talk', 'contain', 'respiratori', 'make', 'realli', 'question', 'view']",124
"['nigeria', 'record', 'new', 'case']",125
"['hello', 'tri', 'get', 'qr', 'code', 'two', 'pfizer', 'vaccin', 'done', 'twalmart', 'ofa']",126
"['rehabilit', 'amazon', 'amazonwarehous', 'repost', 'dec', 'repost']",127
"['karur', 'school', 'sponsor', 'higher', 'edu', 'kid', 'parent', 'take', 'jab', 'lucki', 'draw', 'select', 'parent']",128
"['jnj', 'vaccin', 'use', 'disabl', 'adenoviru', 'deliv', 'instruct', 'isnt', 'rel']",129
"['nation', 'statu', 'updat', 'follow', 'hornbilltv', 'la']",130
"['purchas', 'pcr', 'test', 'china', 'hubei', 'provinc', 'surg', 'month', 'st', 'offici', 'report']",131
"['politician', 'make', 'mandat', 'wo', 'scientif', 'evid', 'ar']",132
"['first', 'circuit', 'dismiss', 'white', 'man', 'suit', 'alleg', 'new', 'hampshir', 'vaccin', 'distribut', 'plan', 'discrimi']",133
"['vaccin', 'might']",134
"['nstnation', 'prime', 'minist', 'datuk', 'seri', 'ismail', 'sabri', 'yaakob', 'express', 'concern', 'possibl', 'hike', 'case']",135
"['bulacan', 'recoveri', 'rise', 'activ', 'case']",136
"['vaccin', 'weapon', 'peopl', 'covidvaxexpos', 'covidiot']",137
"['dc', 'launch', 'vaccin', 'campaign', 'swat']",138
"['india', 'report', 'new', 'case', 'lowest', 'day']",139
"['depart', 'health', 'doh', 'sunday', 'night', 'log', 'addit', 'case', 'bring', 'total', 'number']",140
"['india', 'report', 'new', 'case', 'last', 'hour', 'lowest', 'day', 'activ', 'caseload', 'stand']",141
"['im', 'readi', 'booster', 'shot', 'pfizer', 'deltavari', 'covidvaccin', 'getvaccin']",142
"['peopl', 'vaccin', 'mrna', 'vaccin', 'spore', 'infect']",143
"['go', 'onlin', 'support', 'hiv', 'program', 'provid', 'perform', 'philippin']",144
"['day', 'u', 'death', 'counti', 'wa', 'visual', 'give', 'insight', 'thank', 'ou']",145
"['still', 'elimin', 'need', 'what', 'matter', 'measur', 'cant', 'breath']",146
"['arent', 'wood', 'yet', 'rememb', 'kind', 'calm', 'safe']",147
"['doctor', 'grow', 'frustrat', 'denial', 'misinform', 'smartnew']",148
"['australia', 'buy', 'merck', 'pill', 'victoria', 'case', 'hit', 'record']",149
"['canada', 'medicaldevic', 'regulatori', 'daili', 'stori', 'vaccin']",150
"['insidi', 'deliber', 'natur', 'event', 'past', 'mth', 'lockdown', 'covidvaccin']",151
"['india', 'record', 'new', 'case', 'lowest', 'day', 'mindia', 'cmp', 'dma', 'hl']",152
"['new', 'case', 'india', 'gmt', 'coronavirusupd', 'coronaviruspandem']",153
"['good', 'india', 'bounc', 'back', 'govt', 'could', 'announc', 'guidelin', 'vaccin', 'child']",154
"['quebec', 'expand', 'rapid', 'test', 'school', 'region', 'montreal', 'gazett']",155
['contagi'],156
"['claim', 'invent', 'vaccin', 'claim', 'invent', 'spark', 'plug', 'mean']",157
"['josh', 'frydenberg', 'isol', 'caution', 'case', 'melbourn', 'offic']",158
"['doctor', 'grow', 'frustrat', 'denial', 'misinform']",159
"['doubl', 'vaccin', 'emmi', 'winner', 'die', 'two', 'week', 'attend', 'award', 'ceremoni', 'unmask', 'celebr']",160
"['diagnos', 'instead', 'would', 'chang', 'polici', 'desantiskil']",161
"['daszak', 'grant', 'reject', 'pentagon', 'gain', 'function', 'concern', 'year', 'washi']",162
"['respect', 'sir', 'cant', 'probabl', 'fought', 'statist', 'gener', 'certif', 'without']",163
"['insidi', 'deliber', 'natur', 'event', 'past', 'mth', 'lockdown', 'covidvaccin']",164
"['effect', 'pfizer', 'vaccin', 'prevent', 'infect', 'drop', 'six', 'mont']",165
"['treatment', 'rush', 'fda', 'trial', 'stop', 'earli', 'posit', 'result']",166
"['ronaprev', 'new', 'treatment', 'authoris', 'here', 'everyth', 'need', 'know']",167
"['peopl', 'die', 'confirm', 'postmortem']",168
"['today', 'news', 'littl', 'citi', 'latest', 'variant']",169
"['realli', 'know', 'wane', 'immun']",170
"['pregnant', 'saskatchewan', 'woman', 'die', 'edmonton', 'emerg', 'csection', 'unvaccin', 'mother', 'never', 'reg']",171
"['good', 'question', 'mayb', 'journalist', 'could', 'look', 'thing', 'weve', 'done', 'around', 'aka', 'becom', 'penal', 'state']",172
"['israel', 'studi', 'israel', 'vaccinepassport', 'tyranni', 'immun']",173
"['queensland', 'call', 'hospit', 'fund', 'boost', 'readi', 'reject', 'commonwealth', 'need', 'make', 'sure']",174
"['insidi', 'deliber', 'natur', 'event', 'past', 'mth', 'lockdown', 'covidvaccin']",175
"['go', 'vaer', 'right', 'submit', 'report', 'claim', 'vaccin', 'gave']",176
"['northwellhealth', 'fire', 'employe', 'refus', 'vaccin']",177
"['million', 'peopl', 'america', 'recov', 'natur', 'recov', 'immun', 'system', 'bea']",178
